Label (Grouping),RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher",RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher
        Margin of Error,,±261,±180,±178,±174,±174,±172,±615,±588,±337,±13,±13,±13,±35,±35,±35,±13,±13,±13,±95,±55,±37,±90,±90,±58,±213,±89,±71
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),74.40%,70.10%,(X),100.00%,93.70%,(X),82.50%,24.10%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),42.30%,23.10%,(X),100.00%,32.70%,(X),36.60%,24.00%
        Margin of Error,,(X),±28.5,±27.7,(X),±11.2,±8.3,(X),±10.2,±10.3,(X),**,**,(X),±54.8,±54.8,(X),**,**,(X),±39.0,±25.9,(X),±29.6,±43.8,(X),±29.4,±21.6
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,189,104,86,86,86,68,"1,448","1,154",425,0,0,0,30,30,30,0,0,0,65,16,16,43,43,0,183,49,49
        Margin of Error,,±127,±58,±51,±51,±51,±45,±555,±550,±332,±13,±13,±13,±34,±34,±34,±13,±13,±13,±52,±25,±25,±59,±59,±13,±134,±49,±49
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),55.00%,45.50%,(X),100.00%,79.10%,(X),79.70%,29.40%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),24.60%,24.60%,(X),100.00%,0.00%,(X),26.80%,26.80%
        Margin of Error,,(X),±42.1,±36.6,(X),±35.1,±25.6,(X),±14.5,±15.2,(X),**,**,(X),±60.1,±60.1,(X),**,**,(X),±36.3,±36.3,(X),±50.2,±50.2,(X),±28.7,±28.7
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,303,262,259,249,249,246,992,859,162,0,0,0,6,6,6,0,0,0,65,39,14,67,67,36,134,67,27
        Margin of Error,,±182,±167,±167,±165,±165,±165,±233,±216,±81,±13,±13,±13,±10,±10,±10,±13,±13,±13,±48,±38,±25,±68,±68,±58,±85,±50,±32
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),86.50%,85.50%,(X),100.00%,98.80%,(X),86.60%,16.30%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),60.00%,21.50%,(X),100.00%,53.70%,(X),50.00%,20.10%
        Margin of Error,,(X),±17.8,±17.9,(X),±14.8,±2.1,(X),±8.6,±8.2,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±46.2,±30.0,(X),±40.2,±53.7,(X),±32.6,±20.4
"Census Tract 90, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,207,191,178,157,157,144,"2,772","2,464",949,0,0,0,39,39,39,69,69,69,2,2,2,6,6,0,88,63,50
        Margin of Error,,±88,±84,±79,±84,±84,±78,±801,±782,±228,±13,±13,±13,±58,±58,±58,±71,±71,±71,±4,±4,±4,±9,±9,±13,±64,±56,±55
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),92.30%,86.00%,(X),100.00%,91.70%,(X),88.90%,34.20%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,0.00%,(X),71.60%,56.80%
        Margin of Error,,(X),±13.5,±16.0,(X),±22.2,±14.9,(X),±5.4,±11.1,(X),**,**,(X),±52.7,±52.7,(X),±39.6,±39.6,(X),±100.0,±100.0,(X),±100.0,±100.0,(X),±33.8,±45.4
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,51,51,51,43,43,43,"1,017",895,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,14
        Margin of Error,,±37,±37,±37,±36,±36,±36,±390,±390,±115,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±29,±29,±18
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),88.00%,24.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,51.90%
        Margin of Error,,(X),±46.1,±46.1,(X),±50.2,±50.2,(X),±9.6,±12.7,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±63.3,±51.9
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,156,140,127,114,114,101,"1,755","1,569",705,0,0,0,39,39,39,69,69,69,2,2,2,6,6,0,61,36,36
        Margin of Error,,±75,±71,±69,±64,±64,±61,±518,±488,±192,±13,±13,±13,±58,±58,±58,±71,±71,±71,±4,±4,±4,±9,±9,±13,±53,±49,±49
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),89.70%,81.40%,(X),100.00%,88.60%,(X),89.40%,40.20%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,0.00%,(X),59.00%,59.00%
        Margin of Error,,(X),±17.6,±21.9,(X),±28.8,±21.4,(X),±5.9,±13.0,(X),**,**,(X),±52.7,±52.7,(X),±39.6,±39.6,(X),±100.0,±100.0,(X),±100.0,±100.0,(X),±52.6,±52.6
"Census Tract 91.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,519,456,354,370,370,337,"2,382","1,946",679,16,16,16,89,89,89,0,0,0,14,14,14,115,115,47,211,148,32
        Margin of Error,,±157,±120,±118,±124,±124,±118,±397,±281,±164,±27,±27,±27,±75,±75,±75,±13,±13,±13,±21,±21,±21,±79,±79,±39,±162,±101,±37
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),87.90%,68.20%,(X),100.00%,91.10%,(X),81.70%,28.50%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,40.90%,(X),70.10%,15.20%
        Margin of Error,,(X),±14.6,±23.8,(X),±10.2,±10.3,(X),±7.7,±7.5,(X),±82.2,±82.2,(X),±34.3,±34.3,(X),**,**,(X),±87.9,±87.9,(X),±28.6,±40.6,(X),±26.8,±21.3
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,330,267,239,229,229,222,"1,035",861,308,0,0,0,22,22,22,0,0,0,14,14,14,23,23,19,119,56,31
        Margin of Error,,±112,±99,±89,±92,±92,±91,±242,±209,±110,±13,±13,±13,±31,±31,±31,±13,±13,±13,±21,±21,±21,±23,±23,±22,±94,±50,±37
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),80.90%,72.40%,(X),100.00%,96.90%,(X),83.20%,29.80%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,82.60%,(X),47.10%,26.10%
        Margin of Error,,(X),±23.6,±22.7,(X),±16.0,±5.0,(X),±12.0,±9.7,(X),**,**,(X),±70.1,±70.1,(X),**,**,(X),±87.9,±87.9,(X),±68.6,±32.8,(X),±46.5,±34.2
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,189,189,115,141,141,115,"1,347","1,085",371,16,16,16,67,67,67,0,0,0,0,0,0,92,92,28,92,92,1
        Margin of Error,,±97,±97,±80,±87,±87,±80,±227,±184,±124,±27,±27,±27,±68,±68,±68,±13,±13,±13,±13,±13,±13,±75,±75,±31,±92,±92,±5
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,60.80%,(X),100.00%,81.60%,(X),80.50%,27.50%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,30.40%,(X),100.00%,1.10%
        Margin of Error,,(X),±19.0,±32.2,(X),±24.3,±24.9,(X),±10.4,±10.1,(X),±82.2,±82.2,(X),±40.2,±40.2,(X),**,**,(X),**,**,(X),±33.6,±44.4,(X),±33.6,±6.5
"Census Tract 92.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,010","1,006",935,921,917,862,689,585,370,2,2,0,84,78,71,0,0,0,10,10,3,59,59,57,148,119,94
        Margin of Error,,±233,±230,±236,±222,±221,±227,±172,±140,±102,±4,±4,±13,±40,±40,±36,±13,±13,±13,±18,±18,±6,±31,±31,±31,±72,±56,±51
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),99.60%,92.60%,(X),99.60%,93.60%,(X),84.90%,53.70%,(X),100.00%,0.00%,(X),92.90%,84.50%,(X),-,-,(X),100.00%,30.00%,(X),100.00%,96.60%,(X),80.40%,63.50%
        Margin of Error,,(X),±1.1,±5.4,(X),±1.2,±4.8,(X),±9.6,±12.5,(X),±100.0,±100.0,(X),±9.2,±19.1,(X),**,**,(X),±100.0,±70.0,(X),±42.8,±8.7,(X),±26.4,±27.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,585,581,531,533,529,487,280,224,167,2,2,0,31,31,24,0,0,0,6,6,0,20,20,18,81,65,49
        Margin of Error,,±201,±199,±202,±190,±189,±192,±105,±76,±57,±4,±4,±13,±26,±26,±20,±13,±13,±13,±11,±11,±13,±18,±18,±18,±49,±41,±39
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),99.30%,90.80%,(X),99.20%,91.40%,(X),80.00%,59.60%,(X),100.00%,0.00%,(X),100.00%,77.40%,(X),-,-,(X),100.00%,0.00%,(X),100.00%,90.00%,(X),80.20%,60.50%
        Margin of Error,,(X),±1.9,±8.4,(X),±2.1,±7.6,(X),±15.0,±17.0,(X),±100.0,±100.0,(X),±59.1,±45.1,(X),**,**,(X),±100.0,±100.0,(X),±73.6,±24.9,(X),±27.4,±34.5
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,425,425,404,388,388,375,409,361,203,0,0,0,53,47,47,0,0,0,4,4,3,39,39,39,67,54,45
        Margin of Error,,±99,±99,±96,±98,±98,±95,±100,±93,±69,±13,±13,±13,±30,±29,±29,±13,±13,±13,±9,±9,±6,±27,±27,±27,±40,±35,±35
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,95.10%,(X),100.00%,96.60%,(X),88.30%,49.60%,(X),-,-,(X),88.70%,88.70%,(X),-,-,(X),100.00%,75.00%,(X),100.00%,100.00%,(X),80.60%,67.20%
        Margin of Error,,(X),±9.0,±5.1,(X),±9.8,±5.0,(X),±10.7,±14.3,(X),**,**,(X),±14.4,±14.4,(X),**,**,(X),±100.0,±75.0,(X),±52.7,±52.7,(X),±28.3,±31.1
"Census Tract 92.03, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,600,600,439,556,556,426,"1,640","1,508",621,34,34,34,30,30,21,0,0,0,62,62,62,53,53,53,135,131,92
        Margin of Error,,±192,±192,±176,±191,±191,±175,±351,±355,±192,±45,±45,±45,±27,±27,±24,±13,±13,±13,±45,±45,±45,±51,±51,±51,±89,±89,±56
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,73.20%,(X),100.00%,76.60%,(X),92.00%,37.90%,(X),100.00%,100.00%,(X),100.00%,70.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),97.00%,68.10%
        Margin of Error,,(X),±6.4,±20.6,(X),±6.9,±20.5,(X),±4.7,±12.5,(X),±56.4,±56.4,(X),±60.1,±42.1,(X),**,**,(X),±41.8,±41.8,(X),±45.2,±45.2,(X),±8.0,±23.5
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,243,243,220,230,230,207,669,611,254,23,23,23,21,21,12,0,0,0,35,35,35,17,17,17,83,79,71
        Margin of Error,,±110,±110,±115,±110,±110,±113,±177,±181,±123,±42,±42,±42,±24,±24,±20,±13,±13,±13,±36,±36,±36,±19,±19,±19,±52,±52,±53
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,90.50%,(X),100.00%,90.00%,(X),91.30%,38.00%,(X),100.00%,100.00%,(X),100.00%,57.10%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),95.20%,85.50%
        Margin of Error,,(X),±15.1,±14.1,(X),±15.9,±14.9,(X),±8.6,±16.1,(X),±68.6,±68.6,(X),±71.8,±57.1,(X),**,**,(X),±55.6,±55.6,(X),±79.8,±79.8,(X),±12.7,±25.1
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,357,357,219,326,326,219,971,897,367,11,11,11,9,9,9,0,0,0,27,27,27,36,36,36,52,52,21
        Margin of Error,,±172,±172,±133,±164,±164,±133,±247,±250,±141,±19,±19,±19,±12,±12,±12,±13,±13,±13,±32,±32,±32,±42,±42,±42,±50,±50,±29
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,61.30%,(X),100.00%,67.20%,(X),92.40%,37.80%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,40.40%
        Margin of Error,,(X),±10.6,±28.0,(X),±11.5,±29.3,(X),±4.8,±15.0,(X),±99.2,±99.2,(X),±100.0,±100.0,(X),**,**,(X),±63.3,±63.3,(X),±54.8,±54.8,(X),±45.6,±52.2
"Census Tract 92.04, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,268,232,232,232,232,232,"1,284",983,192,25,25,0,0,0,0,0,0,0,280,179,2,40,39,8,364,226,18
        Margin of Error,,±122,±108,±108,±108,±108,±108,±273,±229,±117,±42,±42,±13,±13,±13,±13,±13,±13,±13,±225,±141,±4,±61,±60,±15,±234,±154,±37
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),86.60%,86.60%,(X),100.00%,100.00%,(X),76.60%,15.00%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),63.90%,0.70%,(X),97.50%,20.00%,(X),62.10%,4.90%
        Margin of Error,,(X),±20.1,±20.1,(X),±15.8,±15.8,(X),±11.0,±8.4,(X),±65.8,±65.8,(X),**,**,(X),**,**,(X),±19.5,±1.9,(X),±6.5,±48.7,(X),±17.8,±9.8
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,132,96,96,96,96,96,393,345,70,25,25,0,0,0,0,0,0,0,180,145,2,31,31,0,263,192,18
        Margin of Error,,±84,±62,±62,±62,±62,±62,±126,±122,±65,±42,±42,±13,±13,±13,±13,±13,±13,±13,±145,±122,±4,±56,±56,±13,±167,±135,±37
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),72.70%,72.70%,(X),100.00%,100.00%,(X),87.80%,17.80%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),80.60%,1.10%,(X),100.00%,0.00%,(X),73.00%,6.80%
        Margin of Error,,(X),±35.5,±35.5,(X),±32.7,±32.7,(X),±9.8,±16.3,(X),±65.8,±65.8,(X),**,**,(X),**,**,(X),±33.2,±2.8,(X),±59.1,±59.1,(X),±30.5,±13.0
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,136,136,136,136,136,136,891,638,122,0,0,0,0,0,0,0,0,0,100,34,0,9,8,8,101,34,0
        Margin of Error,,±69,±69,±69,±69,±69,±69,±244,±166,±100,±13,±13,±13,±13,±13,±13,±13,±13,±13,±87,±41,±13,±16,±15,±15,±87,±41,±13
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),71.60%,13.70%,(X),-,-,(X),-,-,(X),-,-,(X),34.00%,0.00%,(X),88.90%,88.90%,(X),33.70%,0.00%
        Margin of Error,,(X),±25.1,±25.1,(X),±25.1,±25.1,(X),±13.3,±10.0,(X),**,**,(X),**,**,(X),**,**,(X),±39.9,±31.7,(X),±59.0,±59.0,(X),±39.3,±31.5
"Census Tract 93.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,412","1,412","1,219","1,396","1,396","1,203","1,108","1,037",488,0,0,0,141,141,94,0,0,0,0,0,0,164,164,55,63,16,16
        Margin of Error,,±361,±361,±346,±362,±362,±347,±245,±212,±167,±13,±13,±13,±118,±118,±52,±13,±13,±13,±13,±13,±13,±152,±152,±47,±74,±24,±24
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,86.30%,(X),100.00%,86.20%,(X),93.60%,44.00%,(X),-,-,(X),100.00%,66.70%,(X),-,-,(X),-,-,(X),100.00%,33.50%,(X),25.40%,25.40%
        Margin of Error,,(X),±2.8,±5.7,(X),±2.8,±5.8,(X),±6.4,±11.9,(X),**,**,(X),±24.3,±61.5,(X),**,**,(X),**,**,(X),±21.4,±42.3,(X),±47.8,±47.8
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,813,813,715,813,813,715,558,487,171,0,0,0,25,25,25,0,0,0,0,0,0,118,118,30,47,0,0
        Margin of Error,,±266,±266,±258,±266,±266,±258,±177,±157,±74,±13,±13,±13,±26,±26,±26,±13,±13,±13,±13,±13,±13,±146,±146,±31,±71,±13,±13
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,87.90%,(X),100.00%,87.90%,(X),87.30%,30.60%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,25.40%,(X),0.00%,0.00%
        Margin of Error,,(X),±4.8,±9.0,(X),±4.8,±9.0,(X),±12.8,±14.2,(X),**,**,(X),±65.8,±65.8,(X),**,**,(X),**,**,(X),±28.1,±51.6,(X),±48.0,±48.0
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,599,599,504,583,583,488,550,550,317,0,0,0,116,116,69,0,0,0,0,0,0,46,46,25,16,16,16
        Margin of Error,,±184,±184,±162,±189,±189,±164,±143,±143,±119,±13,±13,±13,±116,±116,±46,±13,±13,±13,±13,±13,±13,±45,±45,±36,±24,±24,±24
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,84.10%,(X),100.00%,83.70%,(X),100.00%,57.60%,(X),-,-,(X),100.00%,59.50%,(X),-,-,(X),-,-,(X),100.00%,54.30%,(X),100.00%,100.00%
        Margin of Error,,(X),±6.5,±10.3,(X),±6.6,±10.4,(X),±7.0,±15.2,(X),**,**,(X),±28.4,±59.5,(X),**,**,(X),**,**,(X),±48.5,±54.3,(X),±82.2,±82.2
"Census Tract 93.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,373,338,282,273,272,266,622,556,338,0,0,0,26,26,26,10,10,0,132,104,0,42,42,42,282,220,31
        Margin of Error,,±116,±84,±63,±62,±62,±61,±148,±148,±142,±13,±13,±13,±26,±26,±26,±15,±15,±13,±167,±166,±13,±36,±36,±36,±202,±187,±29
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),90.60%,75.60%,(X),99.60%,97.40%,(X),89.40%,54.30%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,0.00%,(X),78.80%,0.00%,(X),100.00%,100.00%,(X),78.00%,11.00%
        Margin of Error,,(X),±10.2,±26.2,(X),±1.0,±3.0,(X),±8.3,±15.2,(X),**,**,(X),±64.5,±64.5,(X),±100.0,±100.0,(X),±45.2,±25.7,(X),±50.8,±50.8,(X),±19.6,±14.4
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,196,195,139,140,139,133,278,224,107,0,0,0,26,26,26,0,0,0,97,80,0,39,39,39,172,155,21
        Margin of Error,,±80,±80,±38,±37,±38,±37,±115,±115,±102,±13,±13,±13,±26,±26,±26,±13,±13,±13,±126,±126,±13,±36,±36,±36,±147,±150,±24
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),99.50%,70.90%,(X),99.30%,95.00%,(X),80.60%,38.50%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),82.50%,0.00%,(X),100.00%,100.00%,(X),90.10%,12.20%
        Margin of Error,,(X),±1.5,±29.5,(X),±2.0,±5.8,(X),±16.2,±24.7,(X),**,**,(X),±64.5,±64.5,(X),**,**,(X),±40.5,±32.4,(X),±52.7,±52.7,(X),±18.2,±20.0
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,177,143,143,133,133,133,344,332,231,0,0,0,0,0,0,10,10,0,35,24,0,3,3,3,110,65,10
        Margin of Error,,±51,±43,±43,±41,±41,±41,±99,±100,±109,±13,±13,±13,±13,±13,±13,±15,±15,±13,±46,±45,±13,±9,±9,±9,±71,±62,±10
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),80.80%,80.80%,(X),100.00%,100.00%,(X),96.50%,67.20%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),68.60%,0.00%,(X),100.00%,100.00%,(X),59.10%,9.10%
        Margin of Error,,(X),±23.2,±23.2,(X),±25.5,±25.5,(X),±4.4,±18.6,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±57.1,±55.6,(X),±100.0,±100.0,(X),±35.6,±10.5
"Census Tract 94, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,878,855,651,840,827,635,"2,925","2,663","1,370",15,15,15,50,35,16,0,0,0,131,126,82,45,45,37,75,60,29
        Margin of Error,,±447,±444,±270,±442,±442,±268,±514,±489,±425,±26,±26,±26,±43,±49,±16,±19,±19,±19,±130,±126,±82,±37,±37,±35,±76,±48,±23
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),97.40%,74.10%,(X),98.50%,75.60%,(X),91.00%,46.80%,(X),100.00%,100.00%,(X),70.00%,32.00%,(X),-,-,(X),96.20%,62.60%,(X),100.00%,82.20%,(X),80.00%,38.70%
        Margin of Error,,(X),±4.5,±14.1,(X),±2.8,±12.1,(X),±4.0,±10.5,(X),±84.9,±84.9,(X),±59.2,±34.6,(X),**,**,(X),±16.6,±37.2,(X),±49.0,±26.6,(X),±43.8,±61.3
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,469,451,265,464,451,265,"1,264","1,110",438,15,15,15,42,35,16,0,0,0,72,72,28,37,37,29,13,8,0
        Margin of Error,,±222,±222,±104,±222,±222,±104,±345,±331,±247,±26,±26,±26,±45,±49,±16,±19,±19,±19,±75,±75,±36,±34,±34,±31,±25,±27,±19
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),96.20%,56.50%,(X),97.20%,57.10%,(X),87.80%,34.70%,(X),100.00%,100.00%,(X),83.30%,38.10%,(X),-,-,(X),100.00%,38.90%,(X),100.00%,78.40%,(X),61.50%,0.00%
        Margin of Error,,(X),±6.1,±25.4,(X),±5.0,±25.4,(X),±7.3,±15.8,(X),±84.9,±84.9,(X),±46.2,±48.3,(X),**,**,(X),±38.8,±49.5,(X),±54.1,±33.0,(X),±61.5,±91.2
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,409,404,386,376,376,370,"1,661","1,553",932,0,0,0,8,0,0,0,0,0,59,54,54,8,8,8,62,52,29
        Margin of Error,,±248,±244,±240,±239,±239,±239,±287,±288,±275,±19,±19,±19,±13,±19,±19,±19,±19,±19,±56,±55,±55,±13,±13,±13,±64,±55,±23
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
